sample,sample_id,fastq_1,fastq_2,method,principle,cell_line,condition,replicate,organism,adapter_3p,adapter_5p,umi_pattern
HEK293T_untreated_r1,GSM4333255,assets/testdata/human/GSM4333255.R1.HEK293T_untreated_r1.trim.subset.fastq.gz,,SHAPE,RT-stop,HEK293T,untreated,1,Homo sapiens,,,
HEK293T_treated_r1,GSM4333256,assets/testdata/human/GSM4333256.R1.HEK293T_treated_r1.trim.subset.fastq.gz,,SHAPE,RT-stop,HEK293T,treated,1,Homo sapiens,,,
